pdf, link,size,txt,link,size
1849.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1849.pdf,248M,1849.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/txt/1849.txt,4.8M
1850.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1850.pdf,318M,1850.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1850.txt,5.2M
1851.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1851.pdf,287M,1851.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1851.txt,5.8M
1852.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1852.pdf,371M,1852.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1852.txt,6.5M
1853.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1853.pdf,422M,1853.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1853.txt,7.5M
1854.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1854.pdf,558M,1854.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1854.txt, 11M
1855.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1855.pdf,466M,1855.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1855.txt,8.2M
1856.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1856.pdf,483M,1856.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1856.txt,8.5M
1857.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1857.pdf,431M,1857.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1857.txt,8.5M
1858.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1858.pdf,468M,1858.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1858.txt,8.2M
1859.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1859.pdf,458M,1859.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1859.txt,8.8M
1860.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1860.pdf,507M,1860.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1860.txt,9.0M
1861.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1861.pdf,444M,1861.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1861.txt,8.8M
1862.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1862.pdf,508M,1862.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1862.txt,9.2M
1863.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1863.pdf,535M,1863.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1863.txt, 15M
1864.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1864.pdf,562M,1864.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1864.txt, 15M
1865.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1865.pdf,559M,1865.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1865.txt, 11M
1866.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1866.pdf,561M,1866.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1866.txt, 10M
1867.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1867.pdf,567M,1867.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1867.txt, 11M
1868.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1868.pdf,699M,1868.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1868.txt, 17M
1869.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1869.pdf,652M,1869.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1869.txt, 12M
1870.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1870.pdf,768M,1870.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1870.txt, 16M
1871.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1871.pdf,732M,1871.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1871.txt, 14M
1872.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1872.pdf,737M,1872.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1872.txt, 16M
1873.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1873.pdf,839M,1873.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1873.txt, 16M
1874.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1874.pdf,765M,1874.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1874.txt, 17M
1875.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1875.pdf,737M,1875.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1875.txt, 16M
1876.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1876.pdf,789M,1876.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1876.txt, 14M
1877.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1877.pdf,827M,1877.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1877.txt, 14M
1878.pdf,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1878.pdf,861M,1878.txt,https://spacetime-nypl-org.s3.amazonaws.com/city-directories/pdfs/1878.txt, 15M
